Nome,Categoria,Atualizada,Tamanho,Instalacoes,Versao Atual,Requer Android,Classificacao,Politica de Privacidade
"Atari, Inc.",Music,"Eligible if bought after 7/2/2016.
","July 23, 2020",87M,500+,1.0,7.0 and up,https://www.atari.com/privacy-policy
MobilityWare,Card,"July 16, 2020",Varies with device,"10,000,000+",Varies with device,Varies with device,R$7.49 - R$114.99 per item,http://mobilityware.com/privacy-policy.php
"Blizzard Entertainment, Inc.",Card,"July 28, 2020",79M,"10,000,000+",18.0.54613,5.0 and up,"Users Interact, Digital Purchases",http://www.blizzard.com/company/about/privacy.html
7th Beat Games,Music,"Eligible if bought after 7/2/2016.
","July 22, 2020",134M,"100,000+",1.10.4,4.4 and up,http://7thbe.at/privacy/
So Far So Good,Music,"Eligible if bought after 7/2/2016.
","April 27, 2020",98M,"100,000+",0.4.9,5.0 and up,https://www.incredibox.com/info/privacy
X.D. Network,Music,"Eligible if bought after 7/2/2016.
","July 31, 2020",75M,"100,000+",1.2.3,4.1 and up,https://www.xdg.com/services/en/#privacy
Rayark International Limited,Music,"Eligible if bought after 7/2/2016.
","July 10, 2020",67M,"1,000,000+",3.3.0,4.4 and up,https://policies.google.com/privacy
DrawAPP,Music,"August 11, 2020",49M,"1,000,000+",1.0.8,4.2 and up,In-Game Purchases,http://drawapp.cc/privacy.html
Gismart,Music,"August 7, 2020",71M,"5,000,000+",2.5,5.0 and up,Digital Purchases,https://gismart.com/privacy-policy/
Great Music Games,Music,"July 27, 2020",26M,"1,000,000+",1.0.14,4.1 and up,R$2.69 - R$15.99 per item,https://policies.google.com/privacy
Great Music Games,Music,"June 30, 2020",25M,"10,000,000+",1.0.26,4.1 and up,R$2.69 - R$11.99 per item,https://policies.google.com/privacy
Bilkon,Music,"November 4, 2019",17M,"10,000,000+",1.15,4.1 and up,Bilkon,https://policies.google.com/privacy
Joy Journey Music Games,Music,"August 12, 2020",30M,"10,000,000+",1.98,4.1 and up,In-Game Purchases,https://policies.google.com/privacy
Nox Joy,Music,"July 11, 2020",61M,"10,000,000+",1.9.37,5.0 and up,In-Game Purchases,https://www.bignox.com/en/privacy
Big Blue Bubble,Music,"June 25, 2020",Varies with device,"10,000,000+",2.4.2,Varies with device,Digital Purchases,http://www.bigbluebubble.com/privacy-policy/
Dream Tiles Piano Game Studio,Music,"August 14, 2020",10M,"1,000,000+",2.4.1,4.0 and up,In-Game Purchases,https://policies.google.com/privacy
Music Infinity,Music,"August 7, 2020",67M,"10,000,000+",1.10.4,4.1 and up,R$4.79 - R$47.99 per item,https://policies.google.com/privacy
Chess Prince,Board,"August 12, 2020",2.9M,"100,000,000+",2.7.4,4.1 and up,R$5.49 - R$18.99 per item,https://policies.google.com/privacy
Joy Journey Music Games,Music,"August 7, 2020",22M,"10,000,000+",1.71,4.1 and up,In-Game Purchases,https://policies.google.com/privacy
Noodle Games,Card,"July 22, 2020",85M,"1,000,000+",4.68.5009.0,4.1 and up,R$3.49 - R$409.99 per item,https://sites.google.com/site/magiplaygamesprivacypolicy
Gismart,Music,"July 30, 2020",83M,"10,000,000+",3.32.0,5.0 and up,R$4.09 - R$349.99 per item,http://gismart.com/privacy-policy/
GameG,Music,"January 21, 2020",Varies with device,"10,000,000+",harmony_23,Varies with device,In-App Purchases,https://policies.google.com/privacy
Gismart,Music,"July 15, 2020",Varies with device,"50,000,000+",Varies with device,Varies with device,R$7.99 - R$349.99 per item,https://gismart.com/privacy-policy/
Gismart,Music,"July 14, 2020",70M,"100,000,000+",1.58.1,5.0 and up,Digital Purchases,https://gismart.com/privacy-policy/
Opala Studios,Music,"July 10, 2020",17M,"1,000,000+",2.0.22,4.1 and up,Opala Studios,http://site.superpadsapp.com/privacypolicy.htm
Zeeppo,Music,"August 13, 2020",65M,"10,000,000+",1.7.2,5.0 and up,"Users Interact, In-Game Purchases",http://www.zeeppo.com/privacy
AMANOTES,Music,"August 14, 2020",Varies with device,"10,000,000+",2.9.16,4.1 and up,R$1.59 - R$7.99 per item,http://amanotes.com/privacy-policy/
AMANOTES,Music,"July 9, 2020",37M,"10,000,000+",2.1.1,4.4 and up,R$1.59 - R$15.99 per item,http://amanotes.com/privacy-policy/
Orange Studios Games,Music,"August 5, 2020",52M,"50,000,000+",2.66,4.1 and up,R$16.99 per item,http://orangestudiosgames.com/privacy_policy.html
Bushiroad International Pte Ltd_,Music,"July 31, 2020",60M,"1,000,000+",3.6.4,4.4 and up,Digital Purchases,http://en.bushiroad.com/privacy/
NEOWIZ,Music,"June 12, 2020",Varies with device,"1,000,000+",1.23.5,5.0 and up,"Users Interact, In-Game Purchases",https://www.neonapi.com/api/mobile/global/privacy
Toca Boca,Educational,"June 29, 2017",56M,"100,000,000+",1.2.3-play,4.1 and up,Toca Boca,http://www.tocaboca.com/privacy
AMANOTES,Music,"July 23, 2020",70M,"100,000,000+",1.6.1,4.1 and up,R$1.59 - R$41.99 per item,http://amanotes.com/privacy-policy/
Adaric Music,Music,"August 14, 2020",34M,"10,000,000+",1.1.32,4.1 and up,In-Game Purchases,https://policies.google.com/privacy
Tap Lab,Music,"August 11, 2020",93M,"500,000+",1.0.0,4.2 and up,R$53.99 - R$214.99 per item,http://www.gogogame.com/privacy-policy.html
AMANOTES,Music,"August 7, 2020",Varies with device,"100,000,000+",7.073.101,4.1 and up,Digital Purchases,https://amanotes.com/privacy-policy
Badsnowball Limited,Music,"August 14, 2020",94M,"10,000,000+",1.3.80,5.0 and up,R$3.99 - R$204.99 per item,https://policies.google.com/privacy
AMANOTES,Music,"August 3, 2020",71M,"100,000,000+",3.2.4,4.1 and up,In-Game Purchases,http://amanotes.com/privacy-policy/
Grande Games,Casino,"July 25, 2020",97M,"10,000,000+",1.70,4.4 and up,In-Game Purchases,https://grandegames.com/privacy
PLAYSTUDIOS INC,Casino,"August 4, 2020",Varies with device,"10,000,000+",Varies with device,Varies with device,Digital Purchases,https://www.playstudios.com/privacy-policy
DoubleUGames,Casino,"August 7, 2020",102M,"10,000,000+",6.30.1,4.0.3 and up,"Users Interact, Digital Purchases",https://policies.google.com/privacy
PLAYTIKA UK - HOUSE OF FUN LIMITED,Casino,"August 11, 2020",Varies with device,"10,000,000+",3.64,4.0.3 and up,Digital Purchases,http://www.houseoffun.com/privacy-policy/
Playtika,Casino,"August 13, 2020",Varies with device,"10,000,000+",3.67.3,Varies with device,Digital Purchases,https://www.playtika.com/privacy-policy
Playtika,Casino,"August 13, 2020",Varies with device,"50,000,000+",6.8.5,4.1 and up,Digital Purchases,https://www.playtika.com/privacy-policy
Grande Games,Casino,"July 23, 2020",96M,"5,000,000+",3.91,4.4 and up,In-Game Purchases,https://grandegames.com/privacy
GameSmart Ltd,Casino,"July 30, 2020",86M,"1,000,000+",2.3.2,4.1 and up,Digital Purchases,https://app.doutorbingo.com/privacy-policy.htm
Tangelo Games Spain,Casino,"July 2, 2020",69M,"100,000+",1.7.16,5.0 and up,"Users Interact, In-Game Purchases",https://policies.google.com/privacy
Zynga,Casino,"August 6, 2020",90M,"50,000,000+",21.98,4.1 and up,"Users Interact, In-Game Purchases",https://www.zynga.com/privacy/policy
Gamee,Casino,"August 10, 2020",31M,"5,000,000+",4.1.3,5.0 and up,Users Interact,https://www.gamee.com/privacy
R7 Developers,Casino,"May 1, 2020",14M,"1,000,000+",1.11,3.0 and up,Digital Purchases,https://policies.google.com/privacy
WINR Games Inc,Casino,"August 11, 2020",75M,"10,000,000+",3.6.0,4.1 and up,WINR Games Inc,https://policies.google.com/privacy
SLOTS! Free Vegas Casino Slot Machines by T7 GAMES,Casino,"July 10, 2020",80M,"1,000,000+",1.15,4.4 and up,In-Game Purchases,https://sites.google.com/view/t7privacy/
Double Down Interactive LLC,Casino,"July 29, 2020",Varies with device,"10,000,000+",4.9.23,Varies with device,"Shares Info, Digital Purchases",http://www.doubledowninteractive.com/privacy/index.html
IVM games,Casino,"July 31, 2020",86M,"500,000+",1.8,4.4 and up,IVM games,https://roblominer.com/privacy
NIUNIU STUDIO LIMITED,Casino,"August 11, 2020",43M,"500,000+",1.0.7,4.4 and up,NIUNIU STUDIO LIMITED,https://boom.nullpointerexception.cn/leqi/privacy_policy/doggy.html
OneTap Japan,Art & Design,"May 31, 2020",8.5M,"1,000,000+",1.13.5,4.0 and up,In-App Purchases,https://onetap.jp/en/privacy/
Artflow Studio,Art & Design,"July 13, 2020",12M,"1,000,000+",2.8.105,4.4 and up,"Shares Info, Digital Purchases",http://artflowstudio.com/privacy.html
xza,Art & Design,"July 12, 2020",117M,"100,000+",1.1.5,5.0 and up,In-App Purchases,http://focodesign.com/policy/app_focodesign_privacy_policy.html
Launcher Developer,Art & Design,"June 29, 2020",Varies with device,"1,000,000+",Varies with device,Varies with device,Launcher Developer,https://policies.google.com/privacy
axndx,Art & Design,"July 22, 2020",18M,"1,000,000+",3.0.7,5.0 and up,In-App Purchases,http://nuoapps.com/privacy_policy
Webgenie Launcher Team,Art & Design,"July 30, 2020",5.3M,"1,000,000+",2.1.0,5.0 and up,Webgenie Launcher Team,https://policies.google.com/privacy
BTS World Studio,Art & Design,"July 10, 2020",Varies with device,"500,000+",1.0.25,5.0 and up,BTS World Studio,https://policies.google.com/privacy
Launcher Developer,Art & Design,"June 26, 2020",Varies with device,"1,000,000+",Varies with device,Varies with device,Launcher Developer,https://policies.google.com/privacy
Jim Bart,Casino,"August 7, 2020",31M,"1,000,000+",1.3.1,4.1 and up,Jim Bart,https://policies.google.com/privacy
Faizy Tech,Art & Design,"August 7, 2019",6.4M,"500,000+",1.7,4.1 and up,Faizy Tech,https://faizytech2019.github.io/privacypolicy/bts-wallpaper-kpop
SandStorm Studios,Art & Design,"January 2, 2020",5.5M,"1,000,000+",1.0.9,4.0.3 and up,SandStorm Studios,https://policies.google.com/privacy
Webgenie Launcher Team,Art & Design,"July 25, 2020",Varies with device,"5,000,000+",Varies with device,Varies with device,Webgenie Launcher Team,https://policies.google.com/privacy
Makeable ApS,Art & Design,"Eligible if bought after 7/2/2016.
","April 25, 2017",3.9M,"1,000+",1.0,4.4 and up,https://policies.google.com/privacy
TilesGame,Music,"April 12, 2020",Varies with device,"5,000,000+",1.2.29,4.0.3 and up,In-Game Purchases,https://policies.google.com/privacy
Lucky Winner Developer,Casino,"July 23, 2020",74M,"10,000+",1.0.3,5.0 and up,Lucky Winner Developer,https://policies.google.com/privacy
Kevaid,Art & Design,"Eligible if bought after 7/2/2016.
","July 24, 2019",65M,"1,000+",1.2,7.0 and up,http://www.kevaid.com/doodlelens/privacy
Launcher Developer,Art & Design,"Eligible if bought after 7/2/2016.
","June 26, 2020",Varies with device,"10,000+",Varies with device,Varies with device,https://policies.google.com/privacy
WeirdHat,Art & Design,"Eligible if bought after 7/2/2016.
","June 14, 2020",29M,"10,000+",1.8.5,4.2 and up,http://roughanimator.com/privacypolicy/
Chibig,Art & Design,"November 6, 2015",34M,"10,000+",1.0.1,4.0 and up,Chibig,http://www.chibig.com/privacy-policy/
Beste Apps,Art & Design,"Eligible if bought after 7/2/2016.
","February 17, 2020",1.5M,"10,000+",2.0,4.0.3 and up,https://besteappsworld.wordpress.com/privacypolicy/
Ambient Design Ltd.,Art & Design,"June 11, 2019",21M,"50,000+",1.3.15,4.0 and up,Ambient Design Ltd.,https://www.artrage.com/privacy/
ArtiPunk,Art & Design,"Eligible if bought after 7/2/2016.
","November 10, 2019",50M,"10,000+",3.2.4,4.0.3 and up,https://policies.google.com/privacy
Chibig,Art & Design,"December 13, 2015",29M,"1,000+",1.0.0,4.0 and up,Chibig,http://www.chibig.com/privacy-policy/
OQ4Dev,Art & Design,"July 30, 2020",9.2M,"500,000+",3.9,5.0 and up,OQ4Dev,https://sites.google.com/view/animated-text-privacy-policy/your-page-title
Over,Art & Design,"August 12, 2020",24M,"1,000,000+",5.3.1,6.0 and up,Digital Purchases,https://madewithover.com/legal/#privacy
Hippo,Art & Design,"August 6, 2020",23M,"1,000,000+",2.99,4.4 and up,Users Interact,https://policies.google.com/privacy
380 Apps,Art & Design,"May 29, 2020",6.9M,"100,000+",2.6.0.0,4.4 and up,Digital Purchases,https://digicromo.com/privacy-policy-speech-bubbles/
Shajid Hasan,Art & Design,"May 8, 2020",6.9M,"1,000,000+",2.1.1,5.0 and up,Shajid Hasan,https://night-wielder.github.io/likhon_privacy_policy.html
Bazaart LTD.,Art & Design,"April 22, 2020",7.4M,"1,000,000+",3.0.2,7.0 and up,R$2.59 - R$6.49 per item,http://assets.patternator.me/tos.html#privacy
Mahmoud Afarideh,Art & Design,"December 21, 2019",22M,"1,000,000+",5.5.2,4.1 and up,Mahmoud Afarideh,http://matnnegaran.ir/privacypolicy/en
Rewind App & Heart Camera - Snap Photo Editor,Art & Design,"February 26, 2020",48M,"1,000,000+",1.3.7,4.1 and up,In-App Purchases,https://www.facebook.com/notes/tattoo-name-master-tattoo-maker/tattoo-maker-privacy-policy/446001012613976/
Adobe,Art & Design,"July 31, 2020",185M,"1,000,000+",6.5 (2325),7.0 and up,Adobe,http://www.adobe.com/privacy/policy-linkfree.html
Quarzo Apps,Art & Design,"July 10, 2020",6.4M,"10,000,000+",1.2.1,4.0 and up,R$3.00 per item,http://www.quarzoapps.com/privacy_en.html
ibis inc.,Art & Design,"Eligible if bought after 7/2/2016.
","July 27, 2020",20M,"10,000+",7.1.0,4.1 and up,https://ibispaint.com/privacy.jsp#policy
Model X Apps,Art & Design,"July 30, 2020",27M,"1,000,000+",3.4,4.2 and up,R$42.99 per item,http://modelx.oss-cn-hongkong.aliyuncs.com/privacy_camera.html
AR Tech,Art & Design,"May 20, 2020",23M,"1,000,000+",1.3.9,4.2 and up,Users Interact,https://policies.google.com/privacy
True Fun Apps,Art & Design,"March 27, 2020",10M,"1,000,000+",1.7,4.1 and up,True Fun Apps,http://diy-app.ru/truefunapps/privacy-policy.pdf
fida.pk,Art & Design,"June 11, 2020",26M,"100,000+",4.0.4,5.1 and up,R$5.99 - R$53.99 per item,https://www.fida.pk/app_privacy.html
ColorJoy,Art & Design,"August 25, 2016",9.9M,"100,000+",1.2,3.1 and up,R$2.89 - R$109.99 per item,http://coloring.hk/coloringjoy_privacy.html
True Fun Apps,Art & Design,"May 27, 2020",23M,"500,000+",1.5,4.1 and up,True Fun Apps,http://diy-app.ru/truefunapps/privacy-policy.pdf
Udenity,Art & Design,"May 18, 2020",15M,"5,000,000+",1.3.2,4.1 and up,Udenity,https://sites.google.com/view/udenity/privacy-policy
BaramGames,Art & Design,"May 18, 2020",47M,"10,000,000+",4.5,4.1 and up,BaramGames,https://baramgames.com/privacy-policy/
Creative APPS,Art & Design,"July 21, 2020",24M,"1,000,000+",1.2.0,5.0 and up,In-App Purchases,http://creative100.cc/privacy.html
Sweefit Studios,Art & Design,"September 6, 2019",12M,"1,000,000+",2.1,4.0 and up,Sweefit Studios,https://policies.google.com/privacy
PicsArt,Art & Design,"August 1, 2019",33M,"5,000,000+",3.0.3,4.0.3 and up,In-App Purchases,https://picsart.com/privacy-policy
ng-labs,Art & Design,"March 13, 2020",1.1M,"500,000+",2.4,4.4 and up,ng-labs,https://www.ang-labs.com/privacy-policy
Quantum Appx,Art & Design,"July 26, 2020",50M,"10,000,000+",1.8,4.2 and up,Quantum Appx,https://policies.google.com/privacy
MediBang Inc.,Art & Design,"July 9, 2020",27M,"10,000,000+",19.2,5.0 and up,Users Interact,https://medibang.com/terms/privacy/
Draw apps for free,Art & Design,"July 20, 2020",12M,"1,000,000+",1.0.16,4.1 and up,In-Game Purchases,https://policies.google.com/privacy
AppX Studio,Art & Design,"June 10, 2020",15M,"1,000,000+",3.3,4.4 and up,In-App Purchases,http://www.appxstudio.co/blendphoto/privacy-policy.php
Marcin Lewandowski,Art & Design,"July 29, 2020",Varies with device,"10,000,000+",Varies with device,Varies with device,Digital Purchases,https://floorplancreator.net/privacy
ibis inc.,Art & Design,"July 27, 2020",26M,"50,000,000+",7.1.0,4.1 and up,Users Interact,https://ibispaint.com/privacy.jsp#policy
Colorfit,Art & Design,"June 8, 2020",17M,"10,000,000+",2.4.1,4.0.3 and up,R$3.39 - R$15.99 per item,http://www.eyewind.org/en/colorfit_privacy.html
Infinite Studio Mobile,Art & Design,"August 14, 2020",46M,"10,000,000+",6.4.1,4.2 and up,"Users Interact, Digital Purchases",http://www.infinitestudio.art/painter/privacy_policy.html
AppX Studio,Art & Design,"February 24, 2020",32M,"5,000,000+",0.34,4.4 and up,R$3.59 per item,http://www.appxstudio.co/smokeart/privacy-policy.php
Sparkling Society - Farm Games & Paradise Tycoon,Simulation,"July 6, 2020",55M,"1,000,000+",2.4.4,4.1 and up,Digital Purchases,http://www.sparklingsociety.net/privacy-policy/
AppQuiz,Educational,"June 12, 2020",27M,"50,000,000+",5.3,4.0.3 and up,R$25.99 per item,http://edujoy.es/privacy_policy.html
Perfect Play LLC,Puzzle,"August 3, 2020",133M,"1,000,000+",13.1,4.2 and up,Digital Purchases,http://corpwebgames.com/about/privacy_security
IBNPlay,Puzzle,"April 9, 2020",Varies with device,"10,000,000+",Varies with device,Varies with device,IBNPlay,http://lyfoes.com/home/privacy
Aspley Studio,Puzzle,"May 15, 2020",23M,"1,000,000+","0,11",4.1 and up,In-Game Purchases,https://policies.google.com/privacy
SuperSwell,Puzzle,"August 13, 2020",91M,"10,000,000+",3.85,4.2 and up,SuperSwell,https://sites.google.com/view/superswellprivacypolicy/
Playzio,Puzzle,"August 6, 2020",9.6M,"5,000,000+",6.1.81,4.1 and up,In-Game Purchases,https://hashcube.github.io/privacy_policy/
Quarzo Apps,Word,"June 7, 2019",5.8M,"10,000,000+",1.2.3,4.0 and up,In-Game Purchases,http://www.quarzoapps.com/privacy_en.html
Libii,Educational,"August 5, 2020",98M,"10,000,000+",1.1.5,4.2 and up,Digital Purchases,https://policies.google.com/privacy
Lulo Apps,Word,"Eligible if bought after 7/2/2016.
","April 22, 2020",Varies with device,"50,000+",Varies with device,Varies with device,http://classicwords.net/privacy-policy
Teazel Ltd,Word,"Eligible if bought after 7/2/2016.
","June 12, 2020",Varies with device,"10,000+",Varies with device,Varies with device,https://www.teazel.com/privacy.html
Brainium Studios,Word,"May 5, 2017",35M,"10,000+",2.1.2.24,2.2 and up,Brainium Studios,http://www.brainiumstudios.com/privacy
Mobi4Hobby,Word,"Eligible if bought after 7/2/2016.
","July 10, 2020",5.0M,"5,000+",1.0.112,4.1 and up,https://www.dropbox.com/s/juiwwnrgse70bep/cw10_privacy_policy_enus.pdf?raw=1
Flipkart,Shopping,"August 12, 2020",31M,"100,000,000+",7.9,5.1 and up,In-App Purchases,https://www.flipkart.com/pages/privacypolicy
Sunshine Apps,Social,"Eligible if bought after 7/2/2016.
","August 11, 2020",4.6M,"50,000+",4.8.1 Marigold,5.0 and up,https://makisocial.com/privacy-policy/
C2M,Social,"August 10, 2020",28M,"10,000,000+",3.194,4.1 and up,"Users Interact, Digital Purchases",https://policies.google.com/privacy
Setak Houshmand Sharif,Social,"July 20, 2020",29M,"1,000,000+",3.15.0,4.1 and up,Users Interact,https://hi.sapp.ir/privacy/en
ShareChat,Social,"August 6, 2020",28M,"100,000,000+",emarti_12.1.5,4.1 and up,Users Interact,https://privacy.sharechat.com/
Kakao Corporation,Social,"August 11, 2020",Varies with device,"50,000,000+",Varies with device,Varies with device,Users Interact,http://www.kakao.com/policy/privacy
Amino Apps,Social,"August 5, 2020",49M,"10,000,000+",3.4.33367,4.1 and up,"Users Interact, Shares Location",http://narvii.com/privacy
Mercado Libre,Shopping,"August 11, 2020",21M,"100,000,000+",10.44.4,4.4 and up,Users Interact,https://policies.google.com/privacy
Shopee,Shopping,"August 10, 2020",60M,"10,000,000+",2.59.11,4.1 and up,Users Interact,https://policies.google.com/privacy
C&A Brasil,Shopping,"August 12, 2020",30M,"5,000,000+",3.8.0,4.4 and up,C&A Brasil,https://policies.google.com/privacy
Yalla Classifieds OU,Shopping,"August 4, 2020",Varies with device,"5,000,000+",Varies with device,Varies with device,"Users Interact, Shares Info",https://policies.google.com/privacy
Centauro Esportes - Grupo SBF S/A,Shopping,"July 24, 2020",12M,"5,000,000+",1.9.36,4.1 and up,Centauro Esportes - Grupo SBF S/A,https://policies.google.com/privacy
